Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
5,lucene,,0.305,12.354000000000001,172,860,839,0.9755813953488373,0.707644882730115,0.7697739981859469,0.961108521082924,0.021769767200483455,0.0293305630840711,0.02927926349446782
1,ii,,12.074,33.980000000000004,173,865,865,1.0,0.7168729987962313,0.8075860790255784,0.9717403230024173,0.021552755086597174,0.035969479588545475,0.03610710689380284
1,svd,,17.704,0.492,173,865,865,1.0,0.7185564736299747,0.8107984305972268,0.9690392933235685,0.03153530232529424,0.0591140168267066,0.06480877731575473
5,lucene-svd-blend,0.7,7.864,67.049,172,860,860,1.0,0.673033401902466,0.7300984362227972,0.9772219671180811,0.05592881477512923,0.08966210018202406,0.09159711003791358
5,lucene-svd-blend,1.0,21.054000000000002,67.518,172,860,860,1.0,0.6816684209242087,0.7403372798971015,0.9754522198101001,0.055138316258638145,0.0990244346889424,0.10231385123075289
5,lucene-svd-blend,0.9,21.054000000000002,67.693,172,860,860,1.0,0.6771360249391792,0.7350347653732235,0.9766324357881704,0.05679639789180593,0.10310765009775329,0.10627483227017734
5,lucene-svd-blend,0.8,21.054000000000002,68.774,172,860,860,1.0,0.674255904489033,0.7316130027756806,0.9774889934091825,0.056181821131776784,0.10040596399338028,0.10222315551645413
5,ii-svd-blend,0.9,34.158,93.982,172,860,860,1.0,0.6769418663420527,0.7351974364021815,0.9753646476694215,0.053699066608872796,0.09636244286929686,0.09818194689468322
5,ii-svd-blend,1.0,34.157000000000004,94.336,172,860,860,1.0,0.6816684209242087,0.7403372798971015,0.9754522198101001,0.055138316258638145,0.0990244346889424,0.10231385123075289
5,ii-svd-blend,0.8,34.163000000000004,94.351,172,860,860,1.0,0.6730401719908016,0.7309947616393754,0.9764263097192512,0.054269348788667876,0.09639747071797418,0.09839963686514713
5,lucene-svd-blend,0.6,0.064,67.328,172,860,860,1.0,0.6734798072457566,0.7305029284957367,0.976856651303491,0.05353043695468871,0.08163675709075843,0.08703041382162448
5,lucene-svd-blend,0.5,0.049,66.751,172,860,860,1.0,0.6756108328218836,0.7328233018457239,0.9766384694457771,0.05130499971105663,0.07240615170671445,0.07842143863769906
5,ii-svd-blend,0.7,0.126,91.285,172,860,860,1.0,0.6699759485650523,0.7277454920238533,0.9773630608126552,0.05255902667500127,0.09150262366832133,0.09366919095116769
5,ii-svd-blend,0.6,0.132,91.357,172,860,860,1.0,0.6677604628164998,0.725462438271507,0.9775670742466651,0.05177827052131997,0.09304114850178537,0.09998364114985182
1,ii-svd-blend,0,33.97,95.88,173,865,865,1.0,0.7168729987962313,0.8075860790255784,0.9717403230024173,0.021552755086597174,0.035969479588545475,0.03610710689380284
5,lucene-svd-blend,0.4,0.029,66.06700000000001,172,860,860,1.0,0.6794375321258541,0.7370414616130071,0.9761880913576882,0.04613103537194542,0.057055938647613096,0.06120810346595453
5,ii-svd-blend,0.5,0.084,90.537,172,860,860,1.0,0.6664037350165817,0.7241547390507131,0.9783277840526287,0.048771263069181496,0.08452755053914048,0.09140818320636684
5,ii-svd-blend,0.4,0.128,90.816,172,860,860,1.0,0.6659142109208575,0.7238276807371622,0.97847358559133,0.04720293144590029,0.08121506374363457,0.08635533690716356
5,lucene-svd-blend,0.3,0.075,66.313,172,860,860,1.0,0.6849570636749399,0.7431250916007041,0.9751158852347857,0.03726668777104627,0.04629589830425081,0.050797356534538665
5,lucene-svd-blend,0.2,0.044,65.846,172,860,860,1.0,0.6921485561378552,0.7510288600432207,0.9736739759011012,0.0324329782329494,0.03728862543855328,0.04238659518426584
5,ii-svd-blend,0.3,0.093,90.637,172,860,860,1.0,0.6662979613936957,0.7244825914251066,0.9786240100499,0.04176500122581973,0.07020950480248303,0.07550845488340988
5,lucene-svd-blend,0.1,0.041,66.014,172,860,860,1.0,0.7009769263895482,0.7606960343596069,0.9725318909428217,0.02566296725548925,0.03265003702778005,0.03531512065216599
5,svd,,16.067,0.41000000000000003,172,860,860,1.0,0.6852872822453873,0.7486753691018063,0.9760662786557169,0.05676503143242354,0.10253829902427711,0.10164248703492888
1,lucene-svd-blend,0,0.048,69.77,173,865,865,1.0,0.7384687999822248,0.8356710437427642,0.973072189337872,0.019109055129388344,0.0325361273737229,0.0325361273737229
5,ii-svd-blend,0.2,0.122,89.992,172,860,860,1.0,0.6675575507632289,0.7261168141006675,0.9782711767453537,0.03885199531797272,0.06256646779254207,0.06817863302509033
4,lucene,,0.041,16.908,172,860,817,0.95,0.7470253310695765,0.8493970104485457,0.9412965853038023,0.026211377869211135,0.023666191121433113,0.028442957988412728
5,lucene-svd-blend,0,0.038,65.444,172,860,860,1.0,0.7113984637013516,0.7720603771625586,0.9717725127270147,0.021769767200483455,0.0293305630840711,0.02927926349446782
5,ii,,0.056,38.513,172,860,860,1.0,0.6726908755677322,0.7322930412737327,0.9786429854841906,0.03336252418578992,0.05650660834803666,0.058639581284253166
5,ii-svd-blend,0.1,0.07200000000000001,85.678,172,860,860,1.0,0.6696909456717451,0.7287237602317733,0.9786002196629974,0.03676675120516703,0.05888166216240005,0.06452871619545394
5,ii-svd-blend,0,0.067,86.515,172,860,860,1.0,0.6726908755677322,0.7322930412737327,0.9786429854841906,0.03336252418578992,0.05650660834803666,0.058639581284253166
1,ii-svd-blend,0.1,0.07,91.98100000000001,173,865,865,1.0,0.7135837145003426,0.8043527173620347,0.9721155784432043,0.02411832056283529,0.03941955121360233,0.04014209456620348
4,lucene-svd-blend,0.8,6.32,68.458,172,860,860,1.0,0.7200435624228239,0.8004981146292368,0.96984661965418,0.05738124035311593,0.10184879481264718,0.10691754711977156
4,lucene-svd-blend,1.0,29.397000000000002,68.59100000000001,172,860,860,1.0,0.7309165270325866,0.8087196092969677,0.9702757362510147,0.0523892177054962,0.09466859282608256,0.1019292585169808
4,lucene-svd-blend,0.9,12.15,68.69200000000001,172,860,860,1.0,0.7246604360415886,0.8036424763640674,0.9704906426247699,0.056472845482228924,0.10772134399978178,0.1129262166465149
4,lucene-svd-blend,0.7,0.066,67.976,172,860,860,1.0,0.7171150800095822,0.7993093341045235,0.9702118504127786,0.05704712831342724,0.0951833626316091,0.10364135125011342
4,ii-svd-blend,1.0,22.213,93.376,172,860,860,1.0,0.7309165270325866,0.8087196092969677,0.9702757362510147,0.0523892177054962,0.09466859282608256,0.1019292585169808
4,ii-svd-blend,0.9,7.928,93.633,172,860,860,1.0,0.7270095274448757,0.8051996663734335,0.9702046495460841,0.054825520286346546,0.1067785007845898,0.11368257055203167
4,ii-svd-blend,0.8,0.067,93.206,172,860,860,1.0,0.7238373297358627,0.8024480577741305,0.9705180525391036,0.055642024222399944,0.1008320130767712,0.11105458036455586
1,lucene-svd-blend,0.1,0.047,69.929,173,865,865,1.0,0.7304786984736169,0.8262424511027135,0.9731947089766908,0.019535509842811338,0.03289775396304488,0.03287585870993576
4,lucene-svd-blend,0.6,0.025,68.159,172,860,860,1.0,0.7159073547269696,0.8000848517510701,0.9710252050509681,0.055701569956366076,0.0881764740050954,0.09505063250702782
4,lucene-svd-blend,0.5,0.034,68.72200000000001,172,860,860,1.0,0.7164338358031984,0.8028189750932081,0.9716421033916095,0.05143492441033524,0.07320234781539199,0.07970852084093286
4,ii-svd-blend,0.6,0.083,93.361,172,860,860,1.0,0.7197859515176644,0.7992793692533664,0.9706335627019901,0.05178753819651798,0.09043224089402524,0.10223489297630513
4,lucene-svd-blend,0.4,0.032,68.78,172,860,860,1.0,0.7186898653242677,0.8074918091789836,0.9701149019583682,0.046307734548109686,0.055700136923988224,0.0608992285979881
4,ii-svd-blend,0.7,0.076,94.539,172,860,860,1.0,0.7214230808615215,0.8004727069389677,0.9709703458496053,0.05426828236078407,0.0952863447797799,0.10578952861145212
4,ii-svd-blend,0.5,0.116,93.72200000000001,172,860,860,1.0,0.7189397104728626,0.7988715491898919,0.9706107605191491,0.049218967904621595,0.08093989550292256,0.09269804542992661
4,ii-svd-blend,0.4,0.083,95.533,172,860,860,1.0,0.7188918527792747,0.7992504491879843,0.9710716173984862,0.0466196867798846,0.07069341072155405,0.08244306988362142
4,lucene-svd-blend,0.3,0.017,69.359,172,860,860,1.0,0.7226548828341679,0.8140699695762329,0.9691428263337806,0.042148673810591224,0.04983453904726838,0.05546751917323757
1,ii-svd-blend,0.2,0.14,96.308,173,865,865,1.0,0.7111169488189542,0.8019063112569879,0.9724477208178205,0.025595889125357502,0.038897401989259235,0.03951672486291737
4,lucene-svd-blend,0.2,0.023,68.879,172,860,860,1.0,0.7282935226767744,0.8225077429385148,0.9686036243682673,0.03577519261442586,0.03722518903056871,0.041628359389621415
