Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,popular,68558,0.004,,,,,,0.5682808321875463,0.4555555555555555,1,1.0
5,popular,68594,0.002,,,,,,0.16206071206194522,0.15476190476190477,6,0.16666666666666666
5,popular,69335,0.002,,,,,,0.08574492190326413,0.07142857142857142,14,0.07142857142857142
5,popular,69498,0.002,,,,,,0.3024189854501551,0.5588235294117647,1,1.0
5,popular,70835,0.002,,,,,,0.06577467744903755,0.06666666666666667,15,0.06666666666666667
5,popular,70905,0.003,,,,,,0.0,0.0,,0.0
5,popular,74248,0.002,,,,,,0.0,0.0,,0.0
5,popular,75195,0.002,,,,,,0.14661273899332142,0.25,4,0.25
5,popular,75754,0.002,,,,,,0.10672546421655113,0.14285714285714285,7,0.14285714285714285
5,popular,75893,0.002,,,,,,0.4443524366641983,0.3269230769230769,2,0.5
5,popular,76284,0.002,,,,,,0.0,0.0,,0.0
5,popular,76630,0.001,,,,,,0.6689377441139905,0.7222222222222222,1,1.0
5,popular,79846,0.002,,,,,,0.4649606143628244,0.5075757575757576,1,1.0
5,popular,80874,0.003,,,,,,0.0,0.0,,0.0
5,popular,81114,0.002,,,,,,0.20248723591858617,1.0,1,1.0
5,popular,81435,0.002,,,,,,0.36947460930909926,0.35,2,0.5
5,popular,81783,0.002,,,,,,0.0,0.0,,0.0
5,popular,81998,0.002,,,,,,0.07014238674768758,0.0625,16,0.0625
5,popular,82647,0.008,,,,,,0.061676647491715926,0.047619047619047616,21,0.047619047619047616
5,popular,83182,0.002,,,,,,0.07368146400874727,0.08333333333333333,12,0.08333333333333333
5,popular,83360,0.002,,,,,,0.0,0.0,,0.0
5,popular,83416,0.002,,,,,,0.04236020565348831,0.045454545454545456,22,0.045454545454545456
5,popular,83507,0.002,,,,,,0.3085081434581953,1.0,1,1.0
5,popular,83556,0.002,,,,,,0.4048474839296395,0.3611111111111111,2,0.5
5,popular,85617,0.002,,,,,,0.08091133814861241,0.09090909090909091,11,0.09090909090909091
5,popular,86309,0.003,,,,,,0.59812506519957,0.6666666666666666,1,1.0
5,popular,86449,0.002,,,,,,0.06509734809790844,0.058823529411764705,17,0.058823529411764705
5,popular,86592,0.002,,,,,,0.05483732030640285,0.047619047619047616,21,0.047619047619047616
5,popular,87042,0.002,,,,,,0.08158433379716547,0.07692307692307693,13,0.07692307692307693
5,popular,88394,0.002,,,,,,0.06337225930429483,0.08333333333333333,12,0.08333333333333333
5,popular,88455,0.002,,,,,,0.0,0.0,,0.0
5,popular,88608,0.002,,,,,,0.34799000308293915,0.21086691086691087,5,0.2
5,popular,88928,0.002,,,,,,0.42323358213423123,0.4226190476190476,1,1.0
5,popular,89274,0.002,,,,,,0.0,0.0,,0.0
5,popular,89617,0.002,,,,,,0.07678948386291705,0.05,20,0.05
5,popular,90462,0.002,,,,,,0.0,0.0,,0.0
5,popular,91346,0.002,,,,,,0.0,0.0,,0.0
5,popular,92430,0.003,,,,,,0.0,0.0,,0.0
5,popular,93347,0.002,,,,,,0.0,0.0,,0.0
5,popular,93705,0.002,,,,,,0.0,0.0,,0.0
5,popular,96610,0.002,,,,,,0.07138213444598074,0.07692307692307693,13,0.07692307692307693
5,popular,96936,0.002,,,,,,0.0,0.0,,0.0
5,popular,97072,0.002,,,,,,0.06500598167214768,0.06666666666666667,15,0.06666666666666667
5,popular,97953,0.002,,,,,,0.1702363785529361,0.14347826086956522,5,0.2
5,popular,97961,0.002,,,,,,0.0,0.0,,0.0
5,popular,98278,0.002,,,,,,0.07179871419622898,0.041666666666666664,24,0.041666666666666664
5,popular,98541,0.001,,,,,,0.0,0.0,,0.0
5,popular,98781,0.002,,,,,,0.03165368190477138,0.047619047619047616,21,0.047619047619047616
