Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,320,4.455,5,5,1.0,0.5690948885259692,0.9755026946181498,14.696678442077467,0.06250174969299385,0.05263157894736842,19,0.05263157894736842
5,lucene,,359,0.073,5,5,1.0,0.7941299477618025,0.9502157182667224,13.365495493007945,0.0,0.0,,0.0
5,lucene,,1387,0.106,5,5,1.0,0.6797877782305194,0.9928482451430585,13.90015721397125,0.0,0.0,,0.0
5,lucene,,1741,0.069,5,5,1.0,0.9107601460132918,0.956912317240773,10.769227460399792,0.0,0.0,,0.0
5,lucene,,1835,0.056,5,5,1.0,0.682778652168385,0.9662670221772593,16.30803155822425,0.0,0.0,,0.0
5,lucene,,1935,0.057,5,5,1.0,0.6613699192751933,0.9854393989368408,12.489057293322526,0.09904399748505512,0.08333333333333333,12,0.08333333333333333
5,lucene,,2847,0.044,5,5,1.0,0.6958270283293576,0.9907170124302686,13.973339221038733,0.0,0.0,,0.0
5,lucene,,2945,0.056,5,4,0.8,0.23353933838859917,0.9173996245336196,11.9582541375001,0.07100243344465251,0.05,20,0.05
5,lucene,,3665,0.048,5,5,1.0,1.0071145783338533,0.9280510203744851,13.842693279187555,0.07380910730371419,0.058823529411764705,17,0.058823529411764705
5,lucene,,5450,0.055,5,5,1.0,0.9017841238736399,0.9619121125429769,13.98134016304077,0.0,0.0,,0.0
5,lucene,,5611,0.038,5,5,1.0,0.5416529188025674,1.0,15.100410409469312,0.0762768084052789,0.06666666666666667,15,0.06666666666666667
5,lucene,,6116,0.041,5,5,1.0,0.9134486326732185,0.9176416425138947,13.627355000150859,0.0,0.0,,0.0
5,lucene,,7880,0.052000000000000005,5,5,1.0,0.4949900760351241,0.9852783466243938,12.350410409469312,0.0,0.0,,0.0
5,lucene,,8335,0.02,5,5,1.0,0.6103109416813548,1.0,15.600410409469312,0.0,0.0,,0.0
5,lucene,,9197,0.074,5,5,1.0,0.7595198385091819,0.9851048385249096,12.204395572359223,0.0,0.0,,0.0
5,lucene,,11337,0.042,5,4,0.8,0.6826597358679618,0.9202287259797907,14.904648767857287,0.0,0.0,,0.0
5,lucene,,12288,0.063,5,5,1.0,0.8150345672776264,0.9630990716050308,12.346551844328435,0.0,0.0,,0.0
5,lucene,,13927,0.022,5,5,1.0,0.6685307145750904,1.0,16.662016721114163,0.30008372237821507,1.0,1,1.0
5,lucene,,14947,0.044,5,5,1.0,0.6971328484161746,0.9810060951158126,16.492566681438525,0.06771108038011066,0.047619047619047616,21,0.047619047619047616
5,lucene,,16581,0.063,5,5,1.0,0.3844826817220652,1.0,13.25028381172028,0.0,0.0,,0.0
5,lucene,,18115,0.067,5,4,0.8,0.5952152456017114,0.9843265608084074,13.52371901428583,0.0,0.0,,0.0
5,lucene,,18192,0.088,5,5,1.0,0.5088799062062805,0.9644526565152852,13.565748688506009,0.0,0.0,,0.0
5,lucene,,18204,0.057,5,5,1.0,1.1608355856866255,0.9835289044193757,11.727197786179612,0.0,0.0,,0.0
5,lucene,,18675,0.063,5,5,1.0,0.647469725876521,0.9391748300055545,10.569607253646886,0.0,0.0,,0.0
5,lucene,,18758,0.05,5,5,1.0,0.37963815258142547,0.9869512580070504,15.146298648830369,0.0,0.0,,0.0
5,lucene,,19178,0.027,5,5,1.0,0.8073569004708805,0.9393019692745385,15.058031558224252,0.0,0.0,,0.0
5,lucene,,19414,0.053,5,5,1.0,0.5987510317713411,0.992128090724946,12.619354058148824,0.0,0.0,,0.0
5,lucene,,19800,0.058,5,5,1.0,0.4163290329220333,0.9687849025695392,14.56189012336513,0.0,0.0,,0.0
5,lucene,,21401,0.017,5,5,1.0,0.737167147809964,0.9745761994032426,15.930960369793672,0.0,0.0,,0.0
5,lucene,,22245,0.021,5,5,1.0,0.8237954211715562,0.9926434642900739,14.031086967542706,0.0,0.0,,0.0
5,lucene,,22352,0.056,5,5,1.0,0.8492500828552966,0.945873091332144,15.461763525616098,0.0,0.0,,0.0
5,lucene,,22483,0.055,5,5,1.0,1.5053594049534451,0.9505766324871329,14.072832830042605,0.0,0.0,,0.0
5,lucene,,23068,0.057,5,4,0.8,1.0566419950496857,0.8784306452188982,11.392789260714373,0.0,0.0,,0.0
5,lucene,,23638,0.054,5,5,1.0,0.5239407298229277,1.0,11.60426897461019,0.0,0.0,,0.0
5,lucene,,24112,0.057,5,5,1.0,0.7253131404137834,1.0,7.9425360652163075,0.0,0.0,,0.0
5,lucene,,26022,0.032,5,5,1.0,0.7289926211065317,0.9780248069094993,14.211763525616098,0.0,0.0,,0.0
5,lucene,,27142,0.078,5,5,1.0,0.8156328588095665,0.9599415491175431,15.211763525616098,0.1358896756544341,0.2,5,0.2
5,lucene,,27579,0.026000000000000002,5,5,1.0,0.4271539007464253,0.9879239530796319,15.096551844328435,0.0,0.0,,0.0
5,lucene,,28176,0.046,5,5,1.0,0.3844789184045988,0.9886870790681735,16.12735500015086,0.10672200581230395,0.16666666666666666,6,0.16666666666666666
5,lucene,,29115,0.052000000000000005,5,4,0.8,0.3166601505075277,0.8827934119882213,8.892789260714373,0.0,0.0,,0.0
5,lucene,,30631,0.053,5,5,1.0,0.4367687957597846,0.9818591958247704,13.531086967542706,0.0,0.0,,0.0
5,lucene,,31362,0.045,5,5,1.0,0.30398859752412993,0.9977682359878776,15.4964252465794,0.20311835059902497,0.3333333333333333,3,0.3333333333333333
